"gene","log2FC"
"RP11-94I2.1",2.94495315397095
"SLC35E2",2.94445270252543
"RP11-334C17.5",2.94277572228707
"EIF4E1B",2.94219583082407
"DDC8",2.93835101823178
"LINC00691",2.93676005131998
"RP11-345J4.5",2.93640119397028
"SUGT1P",2.9357178508169
"RP11-156E8.1",2.9254874651288
"POT1-AS1",2.92435337278585
"HSP90B3P",2.92273115097389
"RP11-509J21.3",2.91798734970979
"AC138783.12",2.91755872266832
"AC037459.4",2.91660903472019
"ZG16B",2.91291385992832
"RP11-798M19.6",2.91235899666353
"FTH1P22",2.91028328868392
"POM121L7",2.90931352317501
"FAM185BP",2.90505374691419
"PRMT5-DT",2.90361432121664
"AP001471.1",2.90305049781128
"PRKRIRP1",2.90061764337051
"KRTAP1-5",2.89861210456503
"HIST2H4B",2.89357656202859
"RP11-147G16.1",2.88706746828233
"RP11-143J12.2",2.88569170616561
"RP4-799D16.1",2.88411965827225
"KLK9",2.88326151532915
"NPM1P21",2.88030777197321
"DGUOK-AS1",2.87699055308724
"RP11-445F6.2",2.86372164146346
"ADAMTS7P1",2.8633111515365
"RP11-446N19.1",2.86211197068232
"USP46-AS1",2.860261367414
"RP11-67M1.1",2.85406797258681
"RP11-776H12.1",2.8506694438564
"AKR1C5P",2.85014384601244
"CTC-436K13.6",2.84974024780457
"TMEM99",2.84950181715569
"AC131056.3",2.84279619375877
"LINC02236",2.84227279664799
"BSX",2.83872981221282
"RP1-102D24.5",2.83857209362359
"PPP1R2P4",2.83849096712665
"HCG23",2.82592148709641
"RP11-108O10.2",2.82523312921955
"TSPY13P",2.82388776420263
"AACSP1",2.82318581456241
"MANSC4",2.82239022010538
"RP11-38J22.6",2.80729128307227
"LINC01271",2.80451042163328
"RP11-248G5.8",2.79750478744617
"AC069277.2",2.79651331414457
"RP1-240B8.3",2.78224630579925
"RP4-756H11.3",2.77618185441551
"KRTAP5-3",2.77528784815386
"RP11-536O18.1",2.77190690801315
"RP11-50C13.1",2.77173426060664
"AC005037.3",2.76979869567527
"SLC7A11-AS1",2.76911911500744
"LINC00469",2.76479249078229
"XAGE1B",2.76413123125561
"RP13-104F24.1",2.76348567947231
"AC074212.3",2.75865563918513
"AC118138.2",2.75766131143317
"RP11-707G14.1",2.75363196519943
"AC005019.2",2.73665026637393
"RP1-257A7.4",2.7358662828132
"DNM3OS",2.72417141225451
"AC025627.9",2.72241816644059
"AC004538.3",2.72161791446776
"LINC01019",2.71876887485021
"OR4A40P",2.71608668568245
"RP11-57H12.3",2.71141573432451
"AC005614.5",2.70929244303035
"RP11-460N20.5",2.70572946471307
"OTX2-AS1",2.69961262036662
"AC011747.7",2.68660433136282
"PPY2",2.68611408022736
"TPM3P4",2.68558929556286
"AC007038.7",2.68220930149342
"RP3-323P24.3",2.68097296157115
"AL136419.6",2.68052953954653
"RP11-398G24.2",2.68011404177553
"FTOP1",2.67314784918483
"AC025278.1",2.67203647189217
"ZNF582-AS1",2.66698179020554
"RP11-262H14.3",2.66395857158806
"SEPT7P9",2.66138977289623
"RP4-633O19__A.1",2.66011289415573
"RP1-152L7.5",2.65866973889073
"C12orf79",2.65574120495538
"ARMS2",2.65272350378213
"SMURF2P1",2.6489087653903
"DLG1-AS1",2.64810363001495
"RP11-397E7.1",2.64586582043383
"RP11-94A24.1",2.64512219313163
"GPR98",2.64043676426916
"RP11-23D24.2",2.63563460199205
"TRBV25-1",2.63096018227175
"AC084219.4",2.63007228597001
"RP11-472B18.1",2.62633245066454
"B3GALT1-AS1",2.62629143805461
"AC019118.2",2.62155047943171
"YBX1P6",2.62125206414486
"RP11-304L19.5",2.62094814624924
"RP11-265N6.1",2.62006344427517
"RP11-317J10.2",2.6165958039066
"RP11-152L20.3",2.61640557879882
"ST13P5",2.61438571563464
"RP11-512M8.5",2.61243113000857
"RP1-102H19.8",2.61068650951327
"C16orf93",2.60676663191628
"RP3-477O4.14",2.60170292743729
"RP11-60H5.1",2.60161823493883
"RP11-466P24.6",2.60122863794956
"CTD-2354A18.1",2.60016417616993
"AC147651.4",2.59939686513238
"RP11-262A12.1",2.5978479318296
"RP11-700H6.1",2.59701543568787
"IGHV1OR21-1",2.59645603725166
"RN7SK",2.59544647865339
"RP11-439L18.3",2.58464529585468
"SFPQP1",2.58435868015783
"AC099850.1",2.57623840277199
"AC012379.1",2.5717981671276
"ALOX12P1",2.56762318491422
"FDX1L",2.56152246730366
